from,to
PlatzeckM,DeutschRussischesForum
PlatzeckM,SPD
PlatzeckM,ZDFVerwaltungsrat
PlatzeckM,FlughafenBerlinBrandenburg
PofallaR,DB
PofallaR,Straßenkinder
PofallaR,HochschuleRheinWaal
PraetoriusB,HochschuleTWBerlin
TillichS,CDU
TillichS,MIBRAG
TillichS,Volga
TillichS,Rotary
AllmendingerJ,WissenschaftszentrumBerlinSozial
AllmendingerJ,FreieUniversitaetBerlin
AllmendingerJ,AkademiederWissenschaftenBERBR
AllmendingerJ,BayerischeAkademieWissenschaften
AllmendingerJ,Leopoldina
AllmendingerJ,Acatech
AllmendingerJ,StiftungBildung
AllmendingerJ,sdw
AllmendingerJ,GoetheInstitut
AllmendingerJ,BSR
AllmendingerJ,Zeit
AllmendingerJ,SPD
GrothusA,KlimaAllianz
HasselfeldtG,CSU
HasselfeldtG,DRK
KaiserM,Greenpeace
KampeterS,CDU
KampeterS,BDA
KampeterS,DB
KampeterS,Arbeitsagentur
KapfererS,FDP
KapfererS,BVEnergieundWasser
KapfererS,50Hertz
KempfD,BDI
KempfD,DeutscheMesse
KempfD,GfK
KörzellS,DGB
KörzellS,SPD
KörzellS,HR
KreuzbergM,CDU
KreuzbergM,SparkasseKoeln
KreuzbergM,MetropoleRheinland
KreuzbergM,NaturRheinland
MatthesF,OekoInstitut
NematC,Telekom
NematC,Airbus
NiebertK,UniZuerich
NiebertK,DBU
NiebuhrA,AlbrechtsUniKiel
NiebuhrA,IAB
PriggenR,Gruene
PriggenR,LVEnergienNRW
ReicheK,CDU
ReicheK,VKU
ReicheK,EON
RoestelG,Gruene
RoestelG,GelsenwasserAG
RoestelG,DresdenGmbH
RoestelG,EnBW
ScheidtA,Verdi
ScheidtA,SPD
ScheidtA,EON
SchellnhuberH,PIK
SchweitzerE,ALBA
SchweitzerE,IHK
SchweitzerE,FDP
VassiliadisM,IGBCE
VassiliadisM,Evonik
VassiliadisM,KommissionEnergieversorgung
VassiliadisM,BASF
VassiliadisM,Acatech
WehrspohnR,FraunhoferGesellschaft
WehrspohnR,LutherUniversitaetWittenberg
WeigerH,BUND
WeigerH,BR
WeigerH,RNE
WeigerH,VDW
WodtkeH,CDU
LaemmelA,CDU
LenzA,CSU
LenzA,AWE
LenzA,PBNE
MierschM,SPD
MierschM,DBU
PlatzeckM,Kohlekommission
PofallaR,Kohlekommission
PraetoriusB,Kohlekommission
TillichS,Kohlekommission
AllmendingerJ,Kohlekommission
GrothusA,Kohlekommission
HasselfeldtG,Kohlekommission
HerntierC,Kohlekommission
KaiserM,Kohlekommission
KampeterS,Kohlekommission
KapfererS,Kohlekommission
KempfD,Kohlekommission
KoerzellS,Kohlekommission
KreuzbergM,Kohlekommission
MatthesF,Kohlekommission
NematC,Kohlekommission
NiebertK,Kohlekommission
NiebuhrA,Kohlekommission
PriggenR,Kohlekommission
ReicheK,Kohlekommission
RoestelG,Kohlekommission
ScheidtA,Kohlekommission
SchellnhuberH,Kohlekommission
SchweitzerE,Kohlekommission
VassiliadisM,Kohlekommission
WehrspohnR,Kohlekommission
WeigerH,Kohlekommission
WodtkeH,Kohlekommission
LaemmelA,Kohlekommission
LenzA,Kohlekommission
MierschM,Kohlekommission
PlatzeckM,Kohlekommission
PofallaR,Kohlekommission
PraetoriusB,Kohlekommission
TillichS,Kohlekommission
AllmendingerJ,Kohlekommission
GrothusA,Kohlekommission
HasselfeldtG,Kohlekommission
HerntierC,Kohlekommission
KaiserM,Kohlekommission
KampeterS,Kohlekommission
KapfererS,Kohlekommission
KempfD,Kohlekommission
KoerzellS,Kohlekommission
KreuzbergM,Kohlekommission
MatthesF,Kohlekommission
NematC,Kohlekommission
NiebertK,Kohlekommission
NiebuhrA,Kohlekommission
PriggenR,Kohlekommission
ReicheK,Kohlekommission
RoestelG,Kohlekommission
ScheidtA,Kohlekommission
SchellnhuberH,Kohlekommission
SchweitzerE,Kohlekommission
VassiliadisM,Kohlekommission
WehrspohnR,Kohlekommission
WeigerH,Kohlekommission
WodtkeH,Kohlekommission
LaemmelA,Kohlekommission
LenzA,Kohlekommission
MierschM,Kohlekommission
